Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-3N-A9WB-06A-11R-A38C-07,0.000461960106012191,0.0197942609323631,0,0,0.113632534924122,0.143940468541918,0,0.037260097038312,0.0570899480512706,0,0.110841811408051,0.00203153686979183,0.0655203561205294,0.202907916881199,0,0.0503225456802968,0.00190340638463544,0,0.194293157061498,0,0,0,0,-0.00566830751341915,1.09517778600624
TCGA-3N-A9WC-06A-11R-A38C-07,0.0123451710894248,0,0.0196096603901726,0.234925536031991,0,0.167746390301726,0.00215744717461824,0.109666503221513,0.0582280964052505,0,0.033023485185097,0.0114902591339475,0.0307940986830106,0.0565304272299876,0.159697412922356,0.0882880022145275,0.00346724977245526,0,0.0120302602439228,0,0,0,0,0.238872273253653,1.01137481734665
TCGA-3N-A9WD-06A-11R-A38C-07,0.0847123156525608,0.0986278741885337,0.030859671701248,0.100620590578749,0,0.0412101419986637,0,0.122647792497497,0.0320051049443149,0,0.0085584120749213,0.00702505878134075,0,0.283784338183852,0.094154119517591,0.0641928687916922,0,0,0.0316017110890352,0,0,0,0,0.277411120370956,0.97693791536284
TCGA-BF-A1PU-01A-11R-A18S-07,0.171826295646674,0,0.0992120459641505,0,0,0,0,0.142847560368634,0.00599627644469988,0,0.0207494840624853,0.0419506612273915,0,0.232941389364827,0.0202111114353423,0.191132883986976,0,0,0.0731322914988196,0,0,0,0,0.00500708401698009,1.08459180295293
TCGA-BF-A1PV-01A-11R-A18U-07,0.0149444095214917,0,0.03244301623851,0.0536582299998443,0,0.0799797024735239,0,0.169604772003895,0.0622431042481833,0,0.0942909320323987,0.0017492413634324,0.118736208322198,0.153931696740537,0,0.0187243526889624,0.00421551766909848,0.0371087666461793,0.149718565612803,0,0.00865148443894214,0,0,-0.0210766202654941,1.08820161395864
TCGA-BF-A1PX-01A-12R-A18T-07,0.0539453298518534,0,0,0.328107273385761,0,0,0.0318757519106438,0.0615502743441194,0.0621742106432631,0,0.0389549451563246,0.0318465052299947,0,0.100362128772532,0.0520736182094854,0.180718356975322,0.00447589759474658,0,0.0539157079259541,0,0,0,0,0.212030144075643,1.01071992258762
TCGA-BF-A1PZ-01A-11R-A18S-07,0,0.0150855122847069,0,0.143435805949631,0,0,0,0.121579729972291,0.052314270295839,0,0,0.0472109481302556,0,0.163711040539824,0.085539975160314,0.183419996187527,0,0.00629416498937815,0.181408556490233,0,0,0,0,0.00494892683205166,1.09222252967566
TCGA-BF-A1Q0-01A-21R-A18S-07,0.0274335190630837,0,0.0221004069815215,0.149895439275547,0,0.0868016122777841,0,0.115202753254641,0.072055414448253,0,0.00876726867790775,0.0360470060951325,0.0179664502551956,0.0563912136467942,0.117277437965261,0.241724170655106,0,0.00411561044640761,0.0442216969573649,0,0,0,0,0.0939397537880227,1.05729704947704
TCGA-BF-A3DJ-01A-11R-A20F-07,0,0,0.0106550529388436,0.0501079068578256,0,0.0794345832285766,0.0102074390577541,0.0358234862502035,0.038660194790841,0,0.0536470820451017,0,0.122263764078578,0.0782008927922029,0.0698878010683836,0.399429518847646,0,0,0.0408208008029098,0,0,0.0108614772411334,0,0.0801239653522613,1.06977404957045
TCGA-BF-A3DL-01A-11R-A20F-07,0.0235102152314756,0,0,0.091269917555643,0,0.0718173800429873,0.00859389993791352,0.0969649834124961,0.0645251508772923,0,0.112024812402104,0,0.018671223902769,0.306187991475275,0.023434719490456,0.176287310681465,0,0,0,0.00671239499012428,0,0,0,0.0440608719095015,1.09894025721651
TCGA-BF-A3DM-01A-11R-A20F-07,0,0.0450332134365944,0.0616890598159185,0,0,0.278711520226625,0,0.03603790514498,0.074838326045941,0,0.101693267416992,0,0.0767351344320309,0.122379982585184,0,0.063840720916505,0,0,0.13061202310606,0,0.00842884687316813,0,0,0.00942491530222612,1.07555009453423
TCGA-BF-A3DN-01A-11R-A20F-07,0,0.0542474286637883,0.0214614889627,0.0896946883514456,0,0.218705044069891,0,0.118452751996722,0.0163891422989715,0,0,0,0.0349314621528773,0.145931722021831,0.0120635051483057,0.0993407936722504,0.00312437690019178,0.0116606680061124,0.168564757285858,0,0.00543217046905517,0,0,-0.0131569345667254,1.09026666599005
TCGA-BF-A5EO-01A-12R-A27Q-07,0.00720620375974833,0,0.0185709029957298,0.22167581729612,0,0.0034834777232021,0,0.0934643590107597,0.0980416750204063,0,0.0824209539554315,0.00529340999208012,0.0794880038857776,0.246739727635794,0.00904448065787514,0.130215761343999,0,0,0,0.00435522672307626,0,0,0,0.054692193379909,1.08657033433035
TCGA-BF-A5EP-01A-12R-A27Q-07,0.0106249933647084,0,0.00200926018341381,0,0,0.252101515733418,0,0.085553886095443,0.119206709362492,0,0.155773182040031,0,0,0.320442810321519,0,0.0463137754268873,0,0,0,0,0.00797386747208689,0,0,0.0128370366483815,1.12293535714583
TCGA-BF-A5EQ-01A-21R-A27Q-07,0.0721688574242952,0,0.0094956002248984,0.0627268415203587,0,0,0,0.144863479420649,0.0971633756029551,0,0.0420129490532592,0.0336532060312008,0,0.164666920018592,0.0809938213076164,0.165292344335681,0,0,0.126962605060495,0,0,0,0,0.0315600485847843,1.07394863136013
TCGA-BF-A5ER-01A-12R-A27Q-07,0.00219408164772149,0.00297213568942017,0.018033899079235,0,0.0419724654688472,0.0161960155734038,0.0032068749844269,0.00632268881461927,0.0393139718449214,0,0.0309255760593085,0,0,0.520553107732776,0,0.298047149833766,0,0.0140839606223964,0.00443227569529078,0,0.00174579695386724,0,0,0.156975518551141,1.11943736856727
TCGA-BF-A5ES-01A-11R-A27Q-07,0.00626952361746294,0,0,0.119308628169807,0,0,0,0.149402936143735,0.0930768020356134,0,0.0203332871966515,0,0.00839823390435251,0.206013894447754,0.103650389756729,0.167596198186292,0,0,0.124300333168565,0,0.00164977337303771,0,0,0.0384723244110872,1.08160223018879
TCGA-BF-A9VF-01A-11R-A37K-07,0,0.0355302746198128,0.00733656202960254,0.253744907720466,0,0,0.0022142836337867,0.206329065419124,0,0,0.0463117876326842,0.0132942125152433,0.0239131947433131,0.246599532809769,0,0.0303901130564545,0,0.00494321781679134,0.118876715711272,0,0.0105161322916811,0,0,0.0781184224424008,1.07288418047505
TCGA-BF-AAOU-01A-12R-A39D-07,0,0.0125585142232852,0.213650191434675,0.0690525917247739,0,0,0,0.198980158496074,0,0,0.0295908677642247,0,0.0138235906563974,0.169057667313177,0.000690815044926783,0.242229587404387,0,0.0309425518759016,0,0.00949264053758009,0,0.00993082352459854,0,0.0925434190885429,1.04324511249721
TCGA-BF-AAOX-01A-11R-A39D-07,9.65611132263174e-05,0.0467770525284189,0.0266011549611523,0.106432197011247,0,0.0171193426327824,0,0.187612184398337,0.062689886752313,0,0.0315070715217407,0.0125428102042009,0.00521633781930789,0.329108574993946,0.049774298281415,0.0814914202282719,0,0.018713096365333,0.0178662556502121,0,0,0.00645175553809545,0,0.0130067863380228,1.10481356726231
TCGA-BF-AAP0-06A-11R-A39D-07,0.121323197317791,0.0136428055673588,0,0.224866230849328,0,0.0162214908835428,0,0.10695489924047,0.12530526515393,0,0.00685367460613813,0.0225815442867047,0.0221337372787466,0.108711550530592,0.127571026364559,0.0545063849189873,0.00576182596483223,0,0.0435663670370204,0,0,0,0,0.359760423065853,0.939245797116443
TCGA-BF-AAP1-01A-11R-A39D-07,0.00472323311971508,0.00387049066515126,0,0.0226883647810025,0,0.166590834509366,0,0.0517173529010101,0.0302452513246934,0,0.183580223192466,0,0.180546782101689,0.0714784522580877,0.00499898906191342,0.150922055533982,0.00609888460675414,0,0.114406575346593,0,0.0081325105975765,0,0,-0.0383499568066608,1.10679680618749
TCGA-BF-AAP2-01A-11R-A40A-07,0,0.0481866616677245,0,0.145042546475509,0,0,0,0.0924483037099061,0.120823648817274,0,0.0483615434924439,0.0294706890659436,0,0.07297774990439,0.0903046668321711,0.204368371569678,0.023398595383197,0,0.124617223081763,0,0,0,0,0.0430161634839511,1.07029714321631
TCGA-BF-AAP4-01A-11R-A40A-07,0,0.00170708283333065,0,0.367666105040821,0,0,0.0971260195770838,0.129656100301132,0.0385549609570126,0,0.0676699012826065,0.0381045733216767,0.0236603190306504,0.0247945669716598,0.0461518891068857,0.130569887612589,0.000666672892597741,0.00897681593309417,0.0246951051388601,0,0,0,0,0.117085073757818,1.07510387338414
TCGA-BF-AAP6-01A-11R-A40A-07,0.0161593663418379,0,0.00496499210204456,0,0,0.0318786411924641,0,0.0766122009517336,0.0344972238918288,0,0.025939016213145,0,0,0.490085476422635,0.0135408156900881,0.253730077490811,0,0,0.0448662541134166,0,0.00772593558999503,0,0,0.0185376247544546,1.17379355694538
TCGA-BF-AAP7-01A-11R-A40A-07,0.0240891139180107,0,0,0.301292881623574,0,0,0.0632042921037344,0.051602379217287,0.0182467320216622,0,0.0632029914727573,0.0750843035740239,0.0467763047977635,0.058696287342361,0.0726177800631574,0.162049222912208,0.00930795032494253,0,0.0538297606285182,0,0,0,0,0.13277225076869,1.05342463142114
TCGA-BF-AAP8-01A-11R-A40A-07,0.0126075645030334,0,0.0299458520022537,0.0912641785921741,0,0.0154768660432301,0,0.079598967666147,0.05909106606652,0,0,0.0149823834525164,0.0552487444436247,0.0705850051816862,0.00905355505070653,0.376176867504521,0.00439746110070856,0,0.137144072508749,0,0.0444274158841299,0,0,0.0492475417336724,1.06998579581619
TCGA-D3-A1Q1-06A-21R-A18T-07,0.0430332580207665,0,0.0123522930534864,0.0754316278980512,0,0.0848074967234672,0,0.0743364683726929,0.059355133445999,0,0.00432537200142616,0.0281678859184697,0.0366923761146456,0.24867307550306,0.0229810342187403,0.257386170013562,0,0,0.0524578087156338,0,0,0,0,0.0152447279660124,1.09824135960645
TCGA-D3-A1Q3-06A-11R-A18T-07,0.131316879012938,0,0,0,0.0817633123877046,0.0845029747645944,0.000215618072797284,0.028997720271609,0.119088565679311,0,0.065028491913895,0,0.0324685873520235,0.119964332757575,0.125808546045812,0.123761140453472,0.00409471035518006,0,0.0829891209330882,0,0,0,0,0.0952313602565167,1.04962441042934
TCGA-D3-A1Q4-06A-11R-A18T-07,0.014553448528329,0.0321911618005912,0.0249708386607428,0,0,0.0365238889715356,0,0.0796013835531648,0.0400427694041234,0,0.0131431330853467,0.00922941341047985,0,0.418749670518568,0.0520505359331667,0.224915011425777,0,0,0.0540287447081745,0,0,0,0,0.65455655311187,0.761105273607588
