Mixture,Malignant,Endothelial cells,CAF,T cells CD8,NK cells,Macrophages,T cells CD4,B cells,P-value,Correlation,RMSE
TCGA-3N-A9WB-06A-11R-A38C-07,0.964980934920319,0.000139635217393844,0.0316895458043539,0,0,0.00318988405793328,0,0,0,0.438599675804594,0.902691442200988
TCGA-3N-A9WC-06A-11R-A38C-07,0.61599411913421,0.00155086473583999,0.0875425061321154,0.0762197974303354,0,0.150915975308851,0,0.067776737258648,0,0.659412972655714,0.77811213915155
TCGA-3N-A9WD-06A-11R-A38C-07,0.514118292057478,0.0697684808477389,0.1578219862092,0.0461218406206531,0,0.0962096032249217,0,0.115959797040008,0,0.476133634460044,0.881936679057753
TCGA-BF-A1PU-01A-11R-A18S-07,0.95024559190755,0,0.0451119046581426,0,0,0.000954171638493062,0.000949931955172646,0.00273839984064136,0,0.477495410927111,0.887199519292238
TCGA-BF-A1PV-01A-11R-A18U-07,0.894284827985819,0,0.0890434299046977,0,0,0.00309437637825749,0,0.0135773657312257,0,0.223951035180635,0.983621230272657
TCGA-BF-A1PX-01A-12R-A18T-07,0.635040360744481,0.011816621384076,0.128362199511231,0.0595882120999808,0,0.132920668027746,0,0.0322719382324852,0,0.581380958437288,0.830142491175161
TCGA-BF-A1PZ-01A-11R-A18S-07,0.972881012531008,0,0.0104565744226137,0,0,0.0129447288245084,0,0.00371768422186938,0,0.554345841553793,0.854639214858336
TCGA-BF-A1Q0-01A-21R-A18S-07,0.670592047474323,0.00510864497101558,0.208569920099208,0,0,0.0341627095399201,0,0.0815666779155334,0,0.511230470801335,0.873889537470142
TCGA-BF-A3DJ-01A-11R-A20F-07,0.809011200802804,0,0.0950726334326762,0,0,0.0954130351858241,0.00023926209767953,0.000263868481016262,0,0.457768430177571,0.892621907238264
TCGA-BF-A3DL-01A-11R-A20F-07,0.900877816280429,0,0.0807397126248968,0,0,0.0124082275537319,0.00519712947075759,0.000777114070185094,0,0.549827622789523,0.858732474975738
TCGA-BF-A3DM-01A-11R-A20F-07,0.909495307979995,0,0.0783729601666097,0,0,0.0121317318533956,0,0,0,0.415142475134041,0.912348325429435
TCGA-BF-A3DN-01A-11R-A20F-07,0.904284824704349,0.00234190425156684,0.0787948210658117,0,0,0.0129996784674832,0,0.00157877151078963,0,0.523314493138746,0.869389563071241
TCGA-BF-A5EO-01A-12R-A27Q-07,0.886259971251598,0.000752359383406671,0.0640065243978116,0.00102117574920074,0,0.0410105709818481,0,0.00694939823613556,0,0.54703997245568,0.859203018458281
TCGA-BF-A5EP-01A-12R-A27Q-07,0.956773353284774,0,0.0364487228355298,0,0,0.00560952019782278,0.000492992233027624,0.000675411448846255,0,0.560959180754604,0.852336314263608
TCGA-BF-A5EQ-01A-21R-A27Q-07,0.817665400674729,0.00251448989947884,0.0937943627195462,0.0139517898474903,0,0.0445365524350637,0,0.0275374044236915,0,0.463868362213439,0.893800444249887
